"poaIdentifier";"issuedYear";"poaRowId";"programCode";"programLabel";"subprogramCode";" subprogramLabel";"projectCode";"projectLabel";"goalDescription";"goalValue";"measurementUnit";"temporalScopeLabel";"operationalActivityCode";"operationalActivityLabel";"budgetedActivityCode";"budgetedActivityLabel";"fundingSourceCode";"fundingType";"fundingAmount";"plannedAmountQ1";"plannedAmountQ2";"plannedAmountQ3";"plannedAmountQ4";"workType";"workType_uri";"province";"province_uri";"canton";"canton_uri";"parish";"parish_uri"
"001";2025;70;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"024";"Mejoramiento de la vía Cariamanga - Yambaca";"730604";"Pago de planillas de la fiscalización";"001";"Fondos Arrastre";97793.42;48896.71;48896.71;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349682";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Calvas";"https://www.geonames.org/3659882/calvas.html";"Cariamanga";"https://www.geonames.org/10793187/cariamanga.html"
"001";2025;71;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"024";"Mejoramiento de la vía Cariamanga - Yambaca";"750105";"Pago de planillas de la obra";"001";"Fondos Arrastre";1629890.35;814945.18;814945.18;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349683";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Calvas";"https://www.geonames.org/3659882/calvas.html";"Cariamanga";"https://www.geonames.org/10793187/cariamanga.html"
"001";2025;72;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"025";"Asfaltado del contorno del parque central, calles adyacentes y terminal terrestre de la ciudad de Cariamanga";"730604";"Contratación de la fiscalización";"001";"Fondos Propios";28481.33;7120.33;14240.67;7120.33;0.00;"Pavimentación ";"https://www.wikidata.org/wiki/Q111011408 ";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Calvas";"https://www.geonames.org/3659882/calvas.html";"Cariamanga";"https://www.geonames.org/10793187/cariamanga.html"
"001";2025;74;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"027";"Terminación de la vía Villonaco -Taquil -Chantaco - Chuquiribamba";"730604";"Pago de planillas de la fiscalización del contrato No. 449-DPS-2021 y accesorios";"001";"Fondos Arrastre";11181.44;0.00;0.00;11181.44;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Loja";"https://www.geonames.org/3654666/loja.html";"Chantaco";"https://www.geonames.org/10793174/chantaco.html"
"001";2025;75;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"027";"Terminación de la vía Villonaco -Taquil -Chantaco - Chuquiribamba";"730604";"Contratación de la continuación de la fiscalización";"001";"Fondos Arrastre";435539.75;108884.94;108884.94;217769.88;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349678";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Loja";"https://www.geonames.org/3654666/loja.html";"Chantaco";"https://www.geonames.org/10793174/chantaco.html"
"001";2025;76;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"027";"Terminación de la vía Villonaco -Taquil -Chantaco - Chuquiribamba";"750105";"Pago de planillas de la obra";"001";"Fondos Arrastre";3294606.12;823651.53;823651.53;1647303.06;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349679";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Loja";"https://www.geonames.org/3654666/loja.html";"Chantaco";"https://www.geonames.org/10793174/chantaco.html"
"001";2025;77;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"027";"Terminación de la vía Villonaco -Taquil -Chantaco - Chuquiribamba";"750105";"Pago de planillas de la obra";"302";"Fondos Externos";2206489.42;551622.36;551622.36;1103244.71;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349680";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Loja";"https://www.geonames.org/3654666/loja.html";"Chantaco";"https://www.geonames.org/10793174/chantaco.html"
"001";2025;78;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"030";"Contratación de la ampliación de badénes sobre la quebrada Paletillas, vía Paletillas-Bolaspamba y vía Paletillas-Cebollal, del cantón Zapotillo";"750105";"Contratación de la obra";"001";"Fondos Arrastre";31881.58;15940.79;15940.79;0.00;0.00;"Obra de drenaje";"https://www.wikidata.org/wiki/Q4168092";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Zapotillo";"https://www.geonames.org/10792495/zapotillo.html";"Bolaspamba";"https://www.geonames.org/10792785/bolaspamba.html"
"001";2025;79;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"031";"Mejoramiento de la vía Intervalles (Indiucho-El Tambo-Malacatos) a nivel de carpeta asfáltica";"730604";"Pago de planillas de la fiscalización";"001";"Fondos Arrastre";9658.81;0.00;9658.81;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Catamayo";"https://www.geonames.org/3659598/catamayo.html";"El Tambo";"https://www.geonames.org/10793221/el-tambo.html"
"001";2025;80;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"031";"Mejoramiento de la vía Intervalles (Indiucho-El Tambo-Malacatos) a nivel de carpeta asfáltica";"750105";"Pago de planillas de la obra";"001";"Fondos Arrastre";201645.24;0.00;201645.24;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Catamayo";"https://www.geonames.org/3659598/catamayo.html";"El Tambo";"https://www.geonames.org/10793221/el-tambo.html"
"001";2025;81;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"032";"Construcción del puente de Lucarqui, parroquia Guachanamá, cantón Paltas, provincia de Loja.";"730604";"Contratación de la fiscalización";"302";"Fondos Externos";36501.49;9125.37;9125.37;18250.75;0.00;"Construcción de puentes ";"https://www.wikidata.org/wiki/Q21155146";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Paltas";"https://www.geonames.org/3653515/paltas.html";"Guachanamá";"https://www.geonames.org/10793242/guachanama.html"
"001";2025;82;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"032";"Construcción del puente de Lucarqui, parroquia Guachanamá, cantón Paltas, provincia de Loja.";"750105";"Contratación de la obra";"001";"Fondos Externos";215184.76;53796.19;53796.19;107592.38;0.00;"Construcción de puentes ";"https://www.wikidata.org/wiki/Q21155146";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Paltas";"https://www.geonames.org/3653515/paltas.html";"Guachanamá";"https://www.geonames.org/10793242/guachanama.html"
"001";2025;83;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"032";"Construcción del puente de Lucarqui, parroquia Guachanamá, cantón Paltas, provincia de Loja.";"750105";"Contratación de la obra";"302";"Fondos Externos";393173.39;98293.35;98293.35;196586.70;0.00;"Construcción de puentes ";"https://www.wikidata.org/wiki/Q21155146";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Paltas";"https://www.geonames.org/3653515/paltas.html";"Guachanamá";"https://www.geonames.org/10793242/guachanama.html"
"001";2025;84;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"033";"Construcción del baden sobre la quebrada La Muerte, parroquia Bolaspamba, cantón Zapotillo, provincia de Loja";"730604";"Contratación de la fiscalización";"302";"Fondos Externos";3765.99;1883.00;1883.00;0.00;0.00;"Obra de drenaje";"https://www.wikidata.org/wiki/Q4168092";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Zapotillo";"https://www.geonames.org/10792495/zapotillo.html";"Bolaspamba";"https://www.geonames.org/10792785/bolaspamba.html"
"001";2025;85;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"033";"Construcción del baden sobre la quebrada La Muerte, parroquia Bolaspamba, cantón Zapotillo, provincia de Loja";"750105";"Contratación de la obra";"302";"Fondos Externos";38086.17;19043.09;19043.09;0.00;0.00;"Obra de drenaje";"https://www.wikidata.org/wiki/Q4168092";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Zapotillo";"https://www.geonames.org/10792495/zapotillo.html";"Bolaspamba";"https://www.geonames.org/10792785/bolaspamba.html"
"001";2025;86;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"033";"Construcción del baden sobre la quebrada La Muerte, parroquia Bolaspamba, cantón Zapotillo, provincia de Loja";"750105";"Contratación de la obra";"001";"Fondos Externos";24680.41;12340.21;12340.21;0.00;0.00;"Obra de drenaje";"https://www.wikidata.org/wiki/Q4168092";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Zapotillo";"https://www.geonames.org/10792495/zapotillo.html";"Bolaspamba";"https://www.geonames.org/10792785/bolaspamba.html"
"001";2025;87;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"034";"Construcción de puente y accesos para la parroquia Limones, cantón Zapotillo, provincia de Loja";"730604";"Contratación de la fiscalización";"302";"Fondos Externos";42961.59;10740.40;10740.40;21480.80;0.00;"Construcción de puentes ";"https://www.wikidata.org/wiki/Q21155146";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Zapotillo";"https://www.geonames.org/10792495/zapotillo.html";"Limones";"https://www.geonames.org/10792783/limones.html"
"001";2025;88;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"034";"Construcción de puente y accesos para la parroquia Limones, cantón Zapotillo, provincia de Loja";"750105";"Contratación de la obra";"302";"Fondos Externos";434478.14;108619.54;108619.54;217239.07;0.00;"Construcción de puentes ";"https://www.wikidata.org/wiki/Q21155146";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Zapotillo";"https://www.geonames.org/10792495/zapotillo.html";"Limones";"https://www.geonames.org/10792783/limones.html"
"001";2025;89;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"034";"Construcción de puente y accesos para la parroquia Limones, cantón Zapotillo, provincia de Loja";"750105";"Contratación de la obra";"001";"Fondos Externos";281548.28;70387.07;70387.07;140774.14;0.00;"Construcción de puentes ";"https://www.wikidata.org/wiki/Q21155146";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Zapotillo";"https://www.geonames.org/10792495/zapotillo.html";"Limones";"https://www.geonames.org/10792783/limones.html"
"001";2025;90;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"035";"Rehabilitación de la vía Chiriguala- Changaimina, parroquia Changaimina, cantón Gonzanama, provincia de Loja";"730604";"Contratación de la fiscalización";"302";"Fondos Externos";25753.04;6438.26;6438.26;6438.26;6438.26;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Gonzanamá";"https://www.geonames.org/3657777/canton-gonzanama.html";"Changaimina";"https://www.geonames.org/10792723/changaimina-la-libertad.html"
"001";2025;91;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"035";"Rehabilitación de la vía Chiriguala- Changaimina, parroquia Changaimina, cantón Gonzanama, provincia de Loja";"730604";"Contratación de la fiscalización";"001";"Fondos Arrastre";13353.28;3338.32;3338.32;3338.32;3338.32;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349678";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Gonzanamá";"https://www.geonames.org/3657777/canton-gonzanama.html";"Changaimina";"https://www.geonames.org/10792723/changaimina-la-libertad.html"
"001";2025;92;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"035";"Rehabilitación de la vía Chiriguala- Changaimina, parroquia Changaimina, cantón Gonzanama, provincia de Loja";"750105";"Contratación de la obra";"302";"Fondos Externos";260445.04;65111.26;65111.26;65111.26;65111.26;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349679";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Gonzanamá";"https://www.geonames.org/3657777/canton-gonzanama.html";"Changaimina";"https://www.geonames.org/10792723/changaimina-la-libertad.html"
"001";2025;94;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"036";"Mejoramiento a nivel de asfalto de la vía Panamericana-Tuncarta-Tambopamba-Virgen de Agua Santa-Gurudel, mas capa de rodadura a nivel de asfalto de la comunidad de Ilincho";"730604";"Contratación de la fiscalización";"001";"Fondos Propios";0.00;0.00;0.00;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349680";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Saraguro";"https://www.geonames.org/3651244/saraguro.html";"Manú";"https://www.geonames.org/10792747/manu.html"
"001";2025;95;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Plurianual";"036";"Mejoramiento a nivel de asfalto de la vía Panamericana-Tuncarta-Tambopamba-Virgen de Agua Santa-Gurudel, mas capa de rodadura a nivel de asfalto de la comunidad de Ilincho";"750105";"Contratación de la obra";"001";"Fondos Propios";960000.00;240000.00;240000.00;240000.00;240000.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349681";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Saraguro";"https://www.geonames.org/3651244/saraguro.html";"Manú";"https://www.geonames.org/10792747/manu.html"
"001";2025;96;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"037";"Mejoramiento a nivel de carpeta asfáltica de la vía de acceso al barrio Colay en el cantón Celica, provincia de Loja";"730604";"Contratación de fiscalización";"001";"Fondos Propios";0.00;0.00;0.00;0.00;0.00;"Pavimentación ";"https://www.wikidata.org/wiki/Q111011408";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Celica";"https://www.geonames.org/3659543/canton-celica.html";"Celica";"https://www.geonames.org/10793225/celica.html"
"001";2025;97;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"003";"Mejoramiento de vías rurales";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"037";"Mejoramiento a nivel de carpeta asfáltica de la vía de acceso al barrio Colay en el cantón Celica, provincia de Loja";"750105";"Contratación de la obra";"001";"Fondos Propios";528000.00;0.00;132000.00;132000.00;264000.00;"Pavimentación ";"https://www.wikidata.org/wiki/Q111011408";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Celica";"https://www.geonames.org/3659543/canton-celica.html";"Celica";"https://www.geonames.org/10793225/celica.html"
"001";2025;98;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"005";"Construcción de obras civiles y viales en convenios GADs e instituciones";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"001";"Construcción cancha sintética, parroquia 27 de Abril, Cantón Espíndola, Provincia de Loja";"750199";"Transferencia de recursos";"001";"Fondos Arrastre";151420.00;0.00;151420.00;0.00;0.00;"Construcción de Infraestructura";"https://www.wikidata.org/wiki/Q121359";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Espíndola";"https://www.geonames.org/3657967/espindola.html";"27 de Abril";"https://www.geonames.org/10792719/27-de-abril-cab-en-la-naranja.html"
"001";2025;99;"27";"Gestión de vialidad y obras civiles";"00";"Mejoramiento y mantenimiento de vías rurales";"005";"Construcción de obras civiles y viales en convenios GADs e instituciones";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"002";"Construcción de infraestructura del Centro de Exhibición Multipropósito del cantón Gonzanamá";"750107";"Contratación de la obra";"001";"Fondos Arrastre";376915.00;94228.75;188457.50;94228.75;0.00;"Construcción de Infraestructura";"https://www.wikidata.org/wiki/Q121359";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Gonzanamá";"https://www.geonames.org/3657777/canton-gonzanama.html";"Gonzanamá";"https://www.geonames.org/10792722/gonzanama.html"
"001";2025;100;"27";"Gestión de vialidad y obras civiles";"00";"Cooperación interinstitucional con Gobiernos Autónomos Descentralizados";"005";"Construcción de obras civiles y viales en convenios GADs e instituciones";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"003";"Construcción de la cubierta metálica del dispensario médico del seguro social campesino del barrio Rumizhitana";"750501";"Construcción de la obra";"001";"Fondos Arrastre";30000.00;0.00;30000.00;0.00;0.00;"Construcción de Infraestructura";"https://www.wikidata.org/wiki/Q121359";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Loja";"https://www.geonames.org/3654666/loja.html";"Malacatos";"https://www.geonames.org/10793179/malacatos-valladolid.html"
"001";2025;101;"27";"Gestión de vialidad y obras civiles";"00";"Cooperación interinstitucional con Gobiernos Autónomos Descentralizados";"005";"Construcción de obras civiles y viales en convenios GADs e instituciones";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"004";"Transferencia de recursos GAD Catamayo para la ejecución del asfaltado de la vía Canoas - Catamayo";"780104";"Transferencia de recursos";"001";"Fondos Arrastre";400000.00;0.00;400000.00;0.00;0.00;"Construcción de vías rurales ";"https://www.wikidata.org/wiki/Q2349677";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Catamayo";"https://www.geonames.org/3659598/catamayo.html";"Catamayo";"https://www.geonames.org/10792641/catamayo-la-toma.html"
"001";2025;112;"27";"Gestión de vialidad y obras civiles";"00";"Cooperación interinstitucional con Gobiernos Autónomos Descentralizados";"005";"Construcción de obras civiles y viales en convenios GADs e instituciones";"Hasta diciembre de 2025, kilómetros de vías rurales asfaltadas en la provincia de Loja";27;"km";"Anual";"008";"Transferencia de recursos a Municipio de Espíndola para mantenimiento de calles en la ciudad de Amaluza, cantón Espíndola";"780104";"Transferencia de recursos";"001";"Fondos Arrastre";150000.00;150000.00;0.00;0.00;0.00;"Pavimentación ";"https://www.wikidata.org/wiki/Q111011408";"Provincia de Loja";"https://www.geonames.org/3654665/provincia-de-loja.html";"Espíndola";"https://www.geonames.org/3657967/espindola.html";"Amaluza";"https://www.geonames.org/10792832/amaluza.html"
